Cell	Celltype	JSD
arid3b.L	Retinal pigment epithelial cell	0.9874763812002378
arid3b.L	Secretory cell	0.9875736931782101
arid3b.L	Stromal cell	0.9522612676968178
arid3b.L	Taste cell	0.9860902743090648
arid3b.L	Umbrella cell	0.9076084852351831
arid4b.L	Acinar cell	1.0000000351986214
arid4b.L	B cell	1.00000003519919
arid4b.L	Chondrocyte	0.9899008026938312
arid4b.L	Collecting duct intercalated cell	1.0000000351993037
arid4b.L	Cone photoreceptor	0.9920070284632162
arid4b.L	Endocrine cell	0.9894684470836341
arid4b.L	Endothelial cell	0.9956816865829811
arid4b.L	Eosinophil	0.9960472067101216
arid4b.L	Epidermal stem cell	0.9960163203464194
arid4b.L	Epithelial cell	0.9915313560262727
arid4b.L	Erythrocyte	1.0000000351954106
arid4b.L	Fast skeletal muscle cell	0.998540197310581
arid4b.L	Fibroblast	0.9880000932861844
arid4b.L	Hepatocyte	0.9977037009763469
arid4b.L	Lens fiber cell	1.0000000352000318
arid4b.L	Macrophage	0.9926160976910852
arid4b.L	Melanocyte	0.9931942037759912
arid4b.L	Muscle satellite cell	0.9922053275366561
arid4b.L	Neuron	0.974871263522707
arid4b.L	Oligodendrocyte	0.9947001218678422
arid4b.L	Proximal tubule cell	1.0000000351988652
arid4b.L	Radial glia	0.9829615292588848
arid4b.L	Retinal pigment epithelial cell	0.9976601468738338
arid4b.L	Secretory cell	0.9949896891724537
arid4b.L	Stromal cell	0.9955277996524972
arid4b.L	Taste cell	1.0000000351998914
arid4b.L	Umbrella cell	0.9881372122000405
arid5b.L	Acinar cell	0.991262021154959
arid5b.L	B cell	0.99999996635956
arid5b.L	Chondrocyte	0.9754707033958396
arid5b.L	Collecting duct intercalated cell	0.9956102643065199
arid5b.L	Cone photoreceptor	0.999999966358623
arid5b.L	Endocrine cell	0.9816745900988674
arid5b.L	Endothelial cell	0.9903663708757935
arid5b.L	Eosinophil	0.9860858516451794
arid5b.L	Epidermal stem cell	0.9879358758666583
arid5b.L	Epithelial cell	0.9668980091146504
arid5b.L	Erythrocyte	0.9984797705660748
arid5b.L	Fast skeletal muscle cell	0.9931777051171976
arid5b.L	Fibroblast	0.9683921597990028
arid5b.L	Hepatocyte	0.9981783890929512
arid5b.L	Lens fiber cell	0.9957452594043217
arid5b.L	Macrophage	0.9882991849179988
arid5b.L	Melanocyte	0.9770163026510448
arid5b.L	Muscle satellite cell	0.9925157054207416
arid5b.L	Neuron	0.9788324304236329
arid5b.L	Oligodendrocyte	0.9999999663600452
arid5b.L	Proximal tubule cell	0.9951139270545724
arid5b.L	Radial glia	0.9965611364921592
arid5b.L	Retinal pigment epithelial cell	0.9939314490208719
arid5b.L	Secretory cell	0.9999999663601027
arid5b.L	Stromal cell	0.9823560931281867
arid5b.L	Taste cell	0.9999999663602614
arid5b.L	Umbrella cell	0.9694124137268006
arnt.L	Acinar cell	0.9909655223434367
arnt.L	B cell	0.994092464370719
arnt.L	Chondrocyte	0.9270483494840718
arnt.L	Collecting duct intercalated cell	0.9894764496083815
arnt.L	Cone photoreceptor	0.9878956991007666
arnt.L	Endocrine cell	0.9866804174016757
arnt.L	Endothelial cell	0.9715634516369434
arnt.L	Eosinophil	0.9809850925697843
arnt.L	Epidermal stem cell	0.9832363687189887
arnt.L	Epithelial cell	0.9707736862371574
arnt.L	Erythrocyte	0.9824803431025793
arnt.L	Fast skeletal muscle cell	0.9867773047597821
arnt.L	Fibroblast	0.9303711849175447
arnt.L	Hepatocyte	0.9864373749047612
arnt.L	Lens fiber cell	0.9871079188873482
arnt.L	Macrophage	0.9458842065207143
arnt.L	Melanocyte	0.969810163979839
arnt.L	Muscle satellite cell	0.96446873370475
arnt.L	Neuron	0.9525890720656383
arnt.L	Oligodendrocyte	0.9928762932388824
arnt.L	Proximal tubule cell	0.9865979102298286
arnt.L	Radial glia	0.9730312894304534
arnt.L	Retinal pigment epithelial cell	0.9831091020404829
arnt.L	Secretory cell	0.9956644889076689
arnt.L	Stromal cell	0.9667365251272986
arnt.L	Taste cell	0.9831658446092569
arnt.L	Umbrella cell	0.9667569586847574
arnt2.L	Acinar cell	0.9990437103924705
arnt2.L	B cell	0.9985210821203706
arnt2.L	Chondrocyte	0.9881087743996633
arnt2.L	Collecting duct intercalated cell	0.9984102533347947
arnt2.L	Cone photoreceptor	0.9908605275207825
arnt2.L	Endocrine cell	0.9850468110781048
arnt2.L	Endothelial cell	0.9859200624577193
arnt2.L	Eosinophil	0.9973110080440756
arnt2.L	Epidermal stem cell	0.9918174503207595
arnt2.L	Epithelial cell	0.9902008730491342
arnt2.L	Erythrocyte	0.9965448255332308
arnt2.L	Fast skeletal muscle cell	0.9977481427755317
arnt2.L	Fibroblast	0.9855307847986046
arnt2.L	Hepatocyte	0.9993298414930507
arnt2.L	Lens fiber cell	0.996256814990659
arnt2.L	Macrophage	0.9970869846579073
arnt2.L	Melanocyte	0.995416103437758
arnt2.L	Muscle satellite cell	0.9904195186259662
arnt2.L	Neuron	0.6622592537228575
arnt2.L	Oligodendrocyte	0.9749617945535369
arnt2.L	Proximal tubule cell	0.9979485952995579
arnt2.L	Radial glia	0.8475983621616348
arnt2.L	Retinal pigment epithelial cell	0.9920214258306944
arnt2.L	Secretory cell	0.9995166648643863
arnt2.L	Stromal cell	0.9963462202983506
