Cell	Celltype	JSDR
arid2.L	Thick Ascending Limb	0.0024566337453625353
arid2.L	Unknown	0.011307389241317023
arid3a.L	Acinar cell	1.0063468947052456e-08
arid3a.L	Antigen presentation cell	0.014598265669709454
arid3a.L	B cell	1.0064159061684563e-08
arid3a.L	Cardiomyocytes	0.0038496299261417954
arid3a.L	Chondrocyte	0.0053244367422915495
arid3a.L	Ciliated cell	1.006344207965526e-08
arid3a.L	Collecting duct intercalated cell	0.00820636692726373
arid3a.L	Endocrine cell	0.002765700974104446
arid3a.L	Endothelial cell	0.013520934701561127
arid3a.L	Enterocyte	0.0015192747991341626
arid3a.L	Eosinophil	0.030420953444126764
arid3a.L	Epidermal stem cell	0.0016370819493319866
arid3a.L	Epithelial cell	0.004400461505906561
arid3a.L	Erythrocyte	0.03763808987317718
arid3a.L	Fast skeletal muscle cell	1.0063380906366604e-08
arid3a.L	Fibroblast	0.01917359932915197
arid3a.L	Hepatocyte	0.010234597051298033
arid3a.L	Macrophage	0.014595588581671981
arid3a.L	Melanocyte	0.0010431169281620578
arid3a.L	Muscle satellite cell	0.0026012065990768107
arid3a.L	Neuron	0.014116311933045855
arid3a.L	Oligodendrocyte	0.008262177386766711
arid3a.L	Osteoclast	0.00233032576922787
arid3a.L	Pit cell	0.000448605154300008
arid3a.L	Proximal tubule cell	0.004095449887631664
arid3a.L	Smooth muscle cell	0.0037669900035925963
arid3a.L	Stomach parietal cell	0.002754934868008152
arid3a.L	Stromal cell	0.007162318575061999
arid3a.L	T cell	0.0295343484704651
arid3a.L	Taste cell	1.0063500588408658e-08
arid3a.L	Thick Ascending Limb	0.005666374435211119
arid3a.L	Unknown	0.0017408849655140557
arid3b.L	Acinar cell	-2.0073267936737693e-08
arid3b.L	Antigen presentation cell	0.010223066962807836
arid3b.L	B cell	0.004685898633483232
arid3b.L	Cardiomyocytes	0.0053638436394009
arid3b.L	Chondrocyte	0.006419799847208196
arid3b.L	Ciliated cell	0.003224205309081407
arid3b.L	Collecting duct intercalated cell	0.0031284678729676108
arid3b.L	Endocrine cell	0.010224931713026186
arid3b.L	Endothelial cell	0.004463213715343861
arid3b.L	Enterocyte	0.009825135488846115
arid3b.L	Eosinophil	0.009080058065651597
arid3b.L	Epidermal stem cell	0.009262177895989487
arid3b.L	Epithelial cell	0.020338468816058164
arid3b.L	Erythrocyte	0.010569918961669256
arid3b.L	Fast skeletal muscle cell	0.002560381805298606
arid3b.L	Fibroblast	0.010619812134612272
arid3b.L	Hepatocyte	0.0029271199518552393
arid3b.L	Macrophage	0.009967420568227414
arid3b.L	Melanocyte	0.0044656302019002725
arid3b.L	Muscle satellite cell	0.007206422553187486
arid3b.L	Neuron	0.00827590567691927
arid3b.L	Oligodendrocyte	0.0027360330015816503
arid3b.L	Osteoclast	0.0014954143679382081
arid3b.L	Pit cell	0.005728330355184719
arid3b.L	Proximal tubule cell	0.0028959580850447253
arid3b.L	Smooth muscle cell	0.008467364511380748
arid3b.L	Stomach parietal cell	0.004919815639839564
arid3b.L	Stromal cell	0.010257219129318984
arid3b.L	T cell	0.017775870512865666
arid3b.L	Taste cell	0.009651701541634305
arid3b.L	Thick Ascending Limb	0.000800114345458347
arid3b.L	Unknown	0.005312959360823322
arid4b.L	Acinar cell	-1.4661040159680283e-08
arid4b.L	Antigen presentation cell	0.005679844719842619
arid4b.L	B cell	-1.4660350045048176e-08
arid4b.L	Cardiomyocytes	0.002574546077963147
arid4b.L	Chondrocyte	0.003006476236030453
arid4b.L	Ciliated cell	0.0010526226643343684
arid4b.L	Collecting duct intercalated cell	0.005345833540114531
arid4b.L	Endocrine cell	0.008362025196380851
arid4b.L	Endothelial cell	0.002033435885863688
arid4b.L	Enterocyte	0.0017851793220592382
arid4b.L	Eosinophil	0.0027964922932590675
arid4b.L	Epidermal stem cell	0.002827712406823335
arid4b.L	Epithelial cell	0.00561352991608044
arid4b.L	Erythrocyte	0.003937457234214792
arid4b.L	Fast skeletal muscle cell	-1.4661128533433043e-08
arid4b.L	Fibroblast	0.009868386326303491
arid4b.L	Hepatocyte	0.003184084669706211
arid4b.L	Macrophage	0.007494154765090966
arid4b.L	Melanocyte	0.0020836560225991896
arid4b.L	Muscle satellite cell	0.0006457662483327908
arid4b.L	Neuron	0.0038330510144584107
arid4b.L	Oligodendrocyte	0.005125877832484971
arid4b.L	Osteoclast	-1.4661155622874844e-08
arid4b.L	Pit cell	0.0019615724669995727
arid4b.L	Proximal tubule cell	0.001152895764841233
arid4b.L	Smooth muscle cell	0.0024757876019689817
arid4b.L	Stomach parietal cell	0.00317779335030155
arid4b.L	Stromal cell	0.003578805573476118
arid4b.L	T cell	0.004999073872768434
arid4b.L	Taste cell	0.0031797268717039806
arid4b.L	Thick Ascending Limb	0.0053939318531770475
arid4b.L	Unknown	0.004788711446256144
arid5b.L	Acinar cell	1.952134509597414e-08
arid5b.L	Antigen presentation cell	0.00661340990572068
arid5b.L	B cell	0.004014415831349982
arid5b.L	Cardiomyocytes	0.0014580472949552448
arid5b.L	Chondrocyte	0.0015376553393703363
arid5b.L	Ciliated cell	1.9521318228576945e-08
arid5b.L	Collecting duct intercalated cell	0.0005342067061473443
arid5b.L	Endocrine cell	0.005013721786856329
arid5b.L	Endothelial cell	0.003448828674851412
arid5b.L	Enterocyte	0.004402106502069514
arid5b.L	Eosinophil	0.001846095742681575
arid5b.L	Epidermal stem cell	0.004933924462404038
arid5b.L	Epithelial cell	0.0050080311509919095
arid5b.L	Erythrocyte	1.9522275462868777e-08
arid5b.L	Fast skeletal muscle cell	0.0019949573266025977
arid5b.L	Fibroblast	0.006705298962818906
arid5b.L	Hepatocyte	0.0015736222167861413
arid5b.L	Macrophage	0.002245728199611774
arid5b.L	Melanocyte	0.008468307406259257
arid5b.L	Muscle satellite cell	0.00525180814044468
arid5b.L	Neuron	1.952196726495714e-08
arid5b.L	Oligodendrocyte	1.9522145122685686e-08
arid5b.L	Osteoclast	0.004776986640016467
arid5b.L	Pit cell	0.0015996313398752848
arid5b.L	Proximal tubule cell	0.008204409095103782
arid5b.L	Smooth muscle cell	0.00732939084148565
arid5b.L	Stomach parietal cell	0.000524690331206501
arid5b.L	Stromal cell	0.004835876839022868
arid5b.L	T cell	0.004515583959462055
arid5b.L	Taste cell	0.005618966727129693
arid5b.L	Thick Ascending Limb	1.9521657734777875e-08
arid5b.L	Unknown	1.9522895744472635e-08
arnt.L	Acinar cell	0.0024159491004639433
arnt.L	Antigen presentation cell	0.00627479516780205
arnt.L	B cell	0.01046161789993294
arnt.L	Cardiomyocytes	0.006604419512098225
arnt.L	Chondrocyte	0.017438869265182233
arnt.L	Ciliated cell	0.0028178305545055737
arnt.L	Collecting duct intercalated cell	0.010222324593770926
arnt.L	Endocrine cell	0.011119352818946826
